Date,Price,Sentiment,CE_Confidence,Articles,Tech_Decision,Tech_Score,EMA_Trend,RSI,EMA200_Reliable,TTS_Insufficient,SIV_Signal,SIV_Conflict,Final_Verdict,Weighted_Score,Risk_Multiplier,Verdict_Reasoning,Market_Reality,Alignment
04/02/2018,105.833,BULLISH,MODERATE,10,HOLD,-0.0784,BEARISH,45.18,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low confidence.,BULLISH,correct
04/03/2018,106.504,BULLISH,MODERATE,12,HOLD,-0.0317,BEARISH,50.83,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/04/2018,106.78,BEARISH,MODERATE,10,HOLD,-0.0232,BEARISH,52.97,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
04/05/2018,107.15,NEUTRAL,MODERATE,18,HOLD,-0.012,BEARISH,55.76,False,True,COHERENT,NO_SIGNAL,HOLD,0.0,0.2,Weak combined CE/TTS signal.,BEARISH,neutral
04/06/2018,106.892,BULLISH,HIGH,35,HOLD,-0.0225,BEARISH,53.39,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/09/2018,106.734,BULLISH,MODERATE,16,HOLD,-0.0292,BEARISH,51.93,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/10/2018,107.207,BULLISH,MODERATE,12,HOLD,-0.0134,BEARISH,55.82,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,incorrect
04/11/2018,106.8,BEARISH,HIGH,21,HOLD,-0.0303,BEARISH,51.92,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
04/12/2018,107.249,BULLISH,MODERATE,19,HOLD,-0.0153,BEARISH,55.61,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/13/2018,107.32,BULLISH,HIGH,20,HOLD,-0.0134,BEARISH,56.18,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/16/2018,107.114,NEUTRAL,MODERATE,4,HOLD,-0.0231,BEARISH,54.0,False,True,COHERENT,NO_SIGNAL,HOLD,0.0,0.2,Weak combined CE/TTS signal.,BULLISH,neutral
04/17/2018,107.033,BEARISH,MODERATE,12,HOLD,-0.0273,BEARISH,53.13,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
04/18/2018,107.213,BULLISH,MODERATE,6,HOLD,-0.0205,BEARISH,54.87,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/19/2018,107.423,BULLISH,MODERATE,18,HOLD,-0.0125,BEARISH,56.89,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/20/2018,107.647,BULLISH,HIGH,20,HOLD,-0.0042,BEARISH,58.99,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/23/2018,108.672,BULLISH,HIGH,20,HOLD,-0.0112,BEARISH,66.93,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/24/2018,108.856,BEARISH,MODERATE,15,HOLD,-0.0002,BEARISH,68.12,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
04/25/2018,109.409,BEARISH,MODERATE,13,HOLD,0.0118,BEARISH,71.45,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
04/26/2018,109.35,BULLISH,MODERATE,19,HOLD,0.0403,BEARISH,70.6,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and high RSI indicate caution.,BULLISH,correct
04/27/2018,109.033,BULLISH,HIGH,39,HOLD,0.0229,BEARISH,66.07,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
04/30/2018,109.267,BULLISH,MODERATE,18,HOLD,0.0293,BEARISH,67.72,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
05/01/2018,109.908,BULLISH,HIGH,24,HOLD,0.0472,BEARISH,71.76,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,incorrect
05/02/2018,109.829,BEARISH,HIGH,25,HOLD,0.0435,BEARISH,70.59,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and high RSI indicate caution.,BEARISH,correct
05/03/2018,109.157,BEARISH,MODERATE,17,HOLD,0.0056,BEARISH,61.38,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
05/04/2018,109.101,BULLISH,HIGH,42,HOLD,0.0034,BEARISH,60.67,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
05/07/2018,109.135,BEARISH,MODERATE,12,HOLD,0.0054,BEARISH,60.97,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
05/08/2018,109.1,NEUTRAL,MODERATE,11,HOLD,0.004,BEARISH,60.47,False,True,COHERENT,NO_SIGNAL,HOLD,0.0,0.2,Weak combined CE/TTS signal.,BULLISH,neutral
05/09/2018,109.745,BULLISH,MODERATE,7,HOLD,0.0284,BEARISH,66.03,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
05/10/2018,109.406,BULLISH,MODERATE,8,HOLD,0.0088,BEARISH,61.16,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
05/11/2018,109.38,BULLISH,MODERATE,4,HOLD,0.0081,BEARISH,60.79,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.178,Mixed signals and low EMA reliability.,BULLISH,correct
05/14/2018,109.705,BEARISH,MODERATE,9,HOLD,0.0215,BEARISH,63.74,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
05/15/2018,110.285,BEARISH,MODERATE,10,HOLD,0.0421,BEARISH,68.33,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
05/16/2018,110.294,BULLISH,HIGH,22,HOLD,0.0438,BEARISH,68.4,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
05/17/2018,110.783,BULLISH,HIGH,28,HOLD,0.0557,BEARISH,71.87,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,incorrect
05/18/2018,110.776,BULLISH,HIGH,32,HOLD,0.059,BEARISH,71.75,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,incorrect
05/21/2018,110.957,BULLISH,MODERATE,13,HOLD,0.0673,BEARISH,73.02,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,incorrect
05/22/2018,110.824,BULLISH,MODERATE,12,HOLD,0.0591,BEARISH,70.51,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and high RSI indicate caution.,BEARISH,incorrect
05/23/2018,109.989,BULLISH,HIGH,20,HOLD,0.0042,BEARISH,57.21,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,incorrect
05/24/2018,109.259,BULLISH,MODERATE,8,HOLD,-0.0453,BEARISH,48.59,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,incorrect
05/25/2018,109.425,BULLISH,MODERATE,8,HOLD,-0.0236,BEARISH,50.42,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,incorrect
05/28/2018,109.45,BEARISH,MODERATE,3,HOLD,-0.0219,BEARISH,50.7,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.178,Mixed signals and low EMA reliability.,BEARISH,correct
05/29/2018,108.629,BULLISH,MODERATE,7,HOLD,-0.0829,BEARISH,42.14,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
05/30/2018,108.824,BULLISH,MODERATE,9,HOLD,-0.0685,BEARISH,44.54,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
05/31/2018,108.773,NEUTRAL,MODERATE,5,HOLD,-0.0716,BEARISH,44.03,False,True,COHERENT,NO_SIGNAL,HOLD,0.0,0.2,Weak combined CE/TTS signal.,BULLISH,neutral
06/01/2018,109.518,BULLISH,HIGH,41,HOLD,-0.0135,BEARISH,52.62,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
06/04/2018,109.891,BEARISH,MODERATE,5,HOLD,0.0025,BEARISH,56.24,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,correct
06/05/2018,109.826,BULLISH,MODERATE,8,HOLD,-0.0002,BEARISH,55.44,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
06/06/2018,110.16,BEARISH,MODERATE,7,HOLD,0.0144,BEARISH,58.67,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,correct
06/07/2018,109.692,BULLISH,MODERATE,18,HOLD,-0.0093,BEARISH,52.88,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
06/08/2018,109.515,NEUTRAL,MODERATE,16,HOLD,-0.0175,BEARISH,50.84,False,True,COHERENT,NO_SIGNAL,HOLD,0.0,0.2,Weak combined CE/TTS signal.,BULLISH,neutral
06/11/2018,110.165,BULLISH,MODERATE,9,HOLD,0.0108,BEARISH,57.36,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low confidence,BULLISH,correct
06/12/2018,110.443,BEARISH,MODERATE,10,HOLD,0.0222,BEARISH,59.81,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,correct
06/13/2018,110.19,NEUTRAL,HIGH,40,HOLD,0.0097,BEARISH,56.62,False,True,COHERENT,NO_SIGNAL,HOLD,0.0,0.2,Weak combined CE/TTS signal.,BULLISH,neutral
06/14/2018,110.571,BULLISH,HIGH,42,HOLD,0.0254,BEARISH,60.07,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,incorrect
06/15/2018,110.635,BULLISH,HIGH,37,HOLD,0.029,BEARISH,60.64,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,incorrect
06/18/2018,110.542,BULLISH,MODERATE,16,HOLD,0.0245,BEARISH,59.32,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,incorrect
06/19/2018,110.034,BULLISH,MODERATE,7,HOLD,-0.0031,BEARISH,52.59,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
06/20/2018,110.376,BEARISH,MODERATE,17,HOLD,0.0129,BEARISH,56.2,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BEARISH,correct
06/21/2018,109.899,BULLISH,HIGH,21,HOLD,-0.0108,BEARISH,50.44,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
06/22/2018,109.855,BULLISH,MODERATE,17,HOLD,-0.0179,BEARISH,49.93,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
06/25/2018,109.677,BULLISH,MODERATE,6,HOLD,-0.0302,BEARISH,47.83,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct
06/26/2018,110.058,BEARISH,MODERATE,11,HOLD,-0.0012,BEARISH,52.44,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
06/27/2018,110.231,BEARISH,MODERATE,9,HOLD,0.0078,BEARISH,54.41,False,True,PARTIAL,SENTIMENT_ONLY,SELL,-0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,incorrect
06/28/2018,110.49,NEUTRAL,MODERATE,6,HOLD,0.0206,BEARISH,57.26,False,True,COHERENT,NO_SIGNAL,HOLD,0.0,0.2,Weak combined CE/TTS signal.,BULLISH,neutral
06/29/2018,110.67,BULLISH,MODERATE,7,HOLD,0.0298,BEARISH,59.18,False,True,PARTIAL,SENTIMENT_ONLY,BUY,0.6,0.255,Mixed signals and low EMA reliability.,BULLISH,correct

SUMMARY_METRIC,VALUE
Total Active Trades,58
Overall Active Accuracy,60.34%
BUY Trades,41
BUY Accuracy,70.73%
SELL Trades,17
SELL Accuracy,35.29%
BUY+SELL Combined Trades,58
BUY+SELL Combined Accuracy,60.34%
